id,title,slug,url,topic,difficulty,companies,tags,source,status,order_id,internal_difficulty,version,last_edited_at,last_edited_by,has_edits,is_published,prompt,hint,solution,answers,is_premium,is_solution_free
pjSCKiq39SvESirmwFq4,Place or Take,place-or-take,https://www.quantguide.io/questions/place-or-take,probability,hard,Jane Street,Games | Expected Value,Jane Street,published,10,4,2,2023-9-28 20:28:35 America/New_York,Gabe,False,True,"You are playing a one-player game with two opaque boxes. At each turn, you can choose to either ""place"" or ""take"". ""Place"" places $\$$1 from a third party into one box randomly. ""Take"" empties out one box randomly and that money is yours. This game consists of 100 turns where you must either place or take. Assuming optimal play, what is the expected payoff of this game? Note that you do not know how much money you have taken until the end of the game.","There are two aspects to this game that should be noted: the ordering of the places and takes, and the number of places and takes. We can tackle the former aspect first. Intuitively, no places should come after a take. Greedily so, you might as well put a take after all places such that you have a higher expected value of that take (considering a single take, every place you put after the take is $\$$1 less that could be taken); thus, all takes should be stacked at the end of the 100 turns. This can also be proved with induction, and this will be left as an exercise to the reader. The next aspect is regarding the number of places and takes.","There are two aspects to this game that should be noted: the ordering of the places and takes, and the number of places and takes. We can tackle the former aspect first. Intuitively, no places should come after a take. Greedily so, you might as well put a take after all places such that you have a higher expected value of that take (considering a single take, every place you put after the take is $\$$1 less that could be taken); thus, all takes should be stacked at the end of the 100 turns. This can also be proved with induction, and this will be left as an exercise to the reader. The next aspect is regarding the number of places and takes. If there are $p$ places, then there must be $100-p$ takes, and we know that the $p$ places must occur before the $100-p$ takes. In order to find the value of $p$, we can calculate at what position does adding an additional place action not improve our expected payoff. Consider the $p$-th action where $1 < p < 100$ and where this is the last place before we begin taking, or the next action ($p+1$) will be the last pace before we begin taking. What is the expected value of the game if action $p$ is the last place? There are $p$ dollars in aggregate and we have $100-p$ takes. Our expected payoff will be $p \times \sum_{i=1} ^{100-p} \frac{1}{2^i}$, which can be seen from the linearity of expectation- at every take, we will take half of what is remaining on average. What is the expected value of the game if action $p+1$ is the last place? There are $p+1$ dollars in aggregate and we have $100-(p+1)$ takes. Thus, our expected payoff is $(p+1) \times \sum_{i=1} ^{100-p-1} \frac{1}{2^i}$. We are looking for the largest value of $p$ such that the payoff where the $p$-th place is the last place is greater the payoff where the incremental $p+1$-th place is the last place. Thus:$$p \sum_{i=1} ^{100-p} \frac{1}{2^i} > (p+1) \sum_{i=1} ^{100-p-1} \frac{1}{2^i}$$$$p \sum_{i=1} ^{100-p} \frac{1}{2^i} > p \sum_{i=1} ^{99-p} \frac{1}{2^i} + \sum_{i=1} ^{99-p} \frac{1}{2^i}$$$$\frac{p}{2^{100-p}} > \sum_{i=1} ^{99-p} \frac{1}{2^i}$$$\sum_{i=1} ^{99-p} \frac{1}{2^i}$ approaches 1, and thus $p > 2^{100-p} \Rightarrow p > 93$. With 94 places, the expected payoff is $94 \sum_{i=1} ^{6} \frac{1}{2^i} \approx 92.5$. To check this is the maximum payoff, we can look at the 93 and 95 placing cases. With 93 places, the expected payoff is $93 \sum_{i=1} ^{7} \frac{1}{2^i} \approx 92.3$. With 95 places, the expected payoff is $95 \sum_{i=1} ^{5} \frac{1}{2^i} \approx 92.0$. Both surrounding values are less than our expected payoff, and hence the optimal number of times we should place is 94 with an expected payoff of $\frac{2961}{32} \approx 92.5$.","[""2961/32""]",False,True
9lMYt4RZ35l5wKWV5g8h,Collecting Toys II,collecting-toys-ii,https://www.quantguide.io/questions/collecting-toys-ii,probability,hard,Optiver | Squarepoint Capital,Expected Value,,published,12,3,4,2023-10-27 17:14:06 America/New_York,Gabe,False,True,"Every box of cereal contains one toy from a group of $5$ distinct toys, each of which is mutually independent from the others and is equally likely to be within a given box. How many distinct toys can you expect to collect if you bought $7$ boxes?","Try to define indicator random variables as a way to utilize the linearity of expectation. Notice that each toy follows the same distribution, despite mutual dependence.","Let $X$ be the number of distinct toys you collect from the set of 5 toys; we are looking for $E[X]$. $$$$Let $I_i$  ($i = 1,2,...,5$) be the indicator random variable where:$$I_i = \left\{   \begin{array}{ c l }    1 & \quad \textrm{if } \textrm{the $i$-th toy type exists in the set of seven boxes} \\    0                 & \quad \textrm{otherwise}  \end{array}\right.$$We can define $X$ as $\displaystyle X = I_1 + I_2 + ... + I_5 = \sum_{i=1} ^5 I_i$. For a particular toy type, the probability that it is not observed in the first box is $\frac{4}{5}$, and the probability that it is observed in none of the seven boxes is $(\frac{4}{5})^7$ since each box is independent. Therefore, the probability that it is observed in at least one of the seven boxes is $1 - (\frac{4}{5})^7$. Applying the linearity of expectation and the fact that each toy type follows the same distribution, we can solve for $E[X]:$$$E[X] = E\left[\sum_{i=1} ^5 I_i\right] = 5E[I_1] = 5 \times \left[1 \times \left(1 - \left(\frac{4}{5}\right)^7\right)+ 0 \times \left(\frac{4}{5}\right)^7\right] = \frac{61741}{15625}$$","[""61741/15625""]",False,True
55UVEh3mOW4tsHDNHTxz,Chess Tournament I,chess-tournament-i,https://www.quantguide.io/questions/chess-tournament-i,probability,medium,Arrowstreet Capital | Five Rings,Events | Combinatorics,,published,14,2,1,2023-11-5 10:01:51 America/New_York,Gabe,False,True,"A chess tournament has 128 players, each with a distinct rating. Assume that the player with the higher rating always wins against a lower rated opponent and that the winner proceeds to the subsequent round. What is the probability that the highest rated and second-highest rated players will meet in the final?",Consider visualizing this problem as two sets of 64 players that halves at each round until there is a finalist.,"The highest rated player ($P_1$) will always make it to the final since no other player can knock him or her out. The second-highest rated player ($P_2$) makes it to the final if and only if he or she does not play $P_1$ beforehand, in which the $P_2$ will be knocked out before the final. In the first round, the 128 players are divided into two subgroups of 64. $P_2$ will make it to the final if he or she is in a different subgroup as $P_1$. More concretely, $P_2$ has 127 possible match-ups, 64 of which are not in the same subgroup as $P_1$. Thus, the probability that $P_1$ and $P_2$ meet in the final is $$\frac{64}{127}$$","[""64/127""]",False,False
M8tdhi4jgganawYZwFmi,Poker Hands I,poker-hands-i,https://www.quantguide.io/questions/poker-hands-i,probability,easy,DRW,Combinatorics | Events,,published,14,1,4,2023-11-4 23:21:08 America/New_York,Gabe,False,True,"A poker hand consists of five cards from a standard deck of $52$ cards. If $p$ is the probability that you have a four-of-a-kind (four of the five cards have the same rank), find the reciprocal of $p$.",How many ways can you pick $4$ cards of the same rank?,"There are a total of ${52 \choose 5}$ total hand combinations. To count the number of hands that contain a four-of-a-kind, we can break the problem down into the four cards that have the same value and the fifth card. The value that is shared amongst four of them can be any of the 13 faces. The fifth card can be any of the 48 remaining cards left in the deck. Thus, the probability that you have a four-of-a-kind is:
$$\frac{13 \times 48}{{52 \choose 5}}=\frac{1}{4165}$$ Therefore, the answer to the question is $4165$.","[""4165""]",False,False
qRPVQCF8H7ViHcv7Icck,Free Sundae,free-sundae,https://www.quantguide.io/questions/free-sundae,probability,hard,,Games | Conditional Probability,,published,16,3,1,2023-9-9 22:15:46 America/New_York,Gabe,False,True,"You are in line at an ice cream shop when the manager announces that she will give a free sundae to the first person in line whose birthday is the same as someone who has already bought an ice cream. Assuming that you do not know anyone else's birthday and that all birthdays are uniformly distributed across the 365 days in a normal year, what position in line will you choose to maximize your probability of receiving the free sundae?",Think of this as an optimization problem. How can you define the function you are trying to optimize?,"You choose to be the $n$-th person in line. In order for you to get the free sundae, all of the first $n-1$ people ahead of you must have different birthdays, and your birthday needs to be the same as one of these individuals. Thus, the probability that you receive the free sundae is $P(n) = \frac{365 \times 364 \times ... \times (365-n+2)}{365^{n-1}} \times \frac{n-1}{365}.$ You may feel free to find the derivative with respect to $n$ and solve for $n$. Another approach would be to notice that the $n$ that we are solving for must be such that $P(n) > P(n-1)$ and $P(n) > P(n+1)$; or in other words, the value of $n$ maximizes $P(n)$.   $$P(n-1) = \frac{365}{365} \times \frac{364}{365} \times ... \times \frac{365 - (n-3)}{365} \times \frac{n-2}{365}$$  $$P(n) = \frac{365}{365} \times \frac{364}{365} \times ... \times \frac{365 - (n-2)}{365} \times \frac{n-1}{365}$$  $$P(n+1) = \frac{365}{365} \times \frac{364}{365} \times ... \times \frac{365 - (n-1)}{365} \times \frac{n}{365}$$   Thus,  $$P(n) > P(n-1) \Rightarrow n^2 - 3n - 363 < 0$$  $$P(n) > P(n+1) \Rightarrow n^2 - n - 365 > 0$$   We find that the value of $n$ that satisfies these two inequalities is 20.","[""20""]",False,False
sJ2ESe9arGzfZ9GbiEMy,Rubik's Cube Stickers,rubiks-cube-stickers,https://www.quantguide.io/questions/rubiks-cube-stickers,brainteasers,easy,Chicago Trading Company | Blackedge Capital | Virtu Financial | Akuna,Combinatorics,,published,18,1,5,2023-11-5 10:14:41 America/New_York,Gabe,False,True,A $4 \times 4 \times 4$ Rubik's Cube is composed of $1 \times 1 \times 1$ mini-cubes. The Rubik's Cube has stickers on its outer layer to denote the colors of the cube. How many mini-cubes have at least one sticker on them?,"Instead of computing how many mini-cubes have stickers on them, an easier approach may be to calculate how many mini-cubes are unseen and thus do not have stickers on them.","There are a total of $4^3$ mini-cubes that compose the Rubik's Cube. Of these, the core $2^3$ mini-cubes that make up the inside of the cube and that are not showing do not have stickers on it. Thus, the total number of mini-cubes that do have stickers on it is:

$$4^3-2^3=56$$","[""56""]",True,False
StXz4xrM1bE2qQXMHacF,Mental Arithmetic,mental-arithmetic,https://www.quantguide.io/questions/mental-arithmetic,brainteasers,medium,,,Puzzles_and_Curious_Problems,published,11993,2,1,2023-10-6 10:57:11 America/New_York,Gabe,False,True,"Find the pair of positive integers $(a,b)$ that minimizes $a+b$ and satisfies $a^2 + b^2 +ab = c^2$ for an integer $c$. Find $c^2$.","Let $a$ and $b$ be the numbers in question.

We have $a^2 + ab + b^2 = (a - mb)^2$ for some m. ","Let $a$ and $b$ be the numbers in question.

We have $a^2 + ab + b^2 = (a - mb)^2$ for some $m$. 

Then then solve for $b$, obtaining $b = \frac{a(2m+1)}{m^2-1}$.

$$\\$$

$m$ can be any integer greater than $1$, and $a$ is chosen to make $b$ an integer. Set $m = 2$, $a = 3$ and $b = 5$. Plugging these values into the formula, we obtain $49$. However, $a = 8$ and $b = 7$ also works. ","[""49""]",True,False
KTzXVDqpODSwYKTACm5w,Observance Range,observance-range,https://www.quantguide.io/questions/observance-range,probability,medium,,Continuous Random Variables,,published,28402,0,,,,,True,"Find the smallest value of $n$ such that if we generate $n$ IID Unif$(0,1)$ random variables, the probability that at least one of them lies in the interval $(0.48,0.52)$ is at least $99\%$.","Let $p_n$ be the probability in question when we have $n$ IID Unif$(0,1)$ random variables. You want to find the smallest $n$ such that $p_n \geq 0.99$. Consider the complement.","Let $p_n$ be the probability in question when we have $n$ IID Unif$(0,1)$ random variables. We want to find the smallest $n$ such that $p_n \geq 0.99$. The event that at least one of the random variables is in this interval is the complement of the event that all $n$ of the random variables are outside this interval. This latter probability is much easier to compute, as we have intersections of events now instead of unions.

$$$$

Therefore, the probability of the complement is $1-p_n$, so we want to find the smallest $n$ such that $1 - p_n \leq 0.01$. Now, we want to find an expression for $1 - p_n$, the probability of the complement.

$$$$

If the complement occurs, none of the $n$ IID random variables are in $(0.48,0.52)$. This is saying $\mathbb{P}[X_1 \notin (0.48,0.52), \dots X_n \notin (0.48,0.52)] = \mathbb{P}[X_1 \notin (0.48,0.52)]\dots \mathbb{P}[X_n \notin (0.48,0.52)]$ by independence. As all of the random variables have identical distributions, we can evaluate one of the probabilities and raise it to the $n$th power, so this is $(\mathbb{P}[X_1 \notin (0.48,0.52)])^n$. The probability $X_1$ is in $(0.48,0.52)$ is just $\dfrac{0.04}{1} = 0.04$. This is because we have a uniform density on $(0,1)$, so the probability our random variable belongs to some sub-interval is just the length of that interval over the total length of our supported interval. As the probability $X_1$ is in the interval is $0.04$, the probability it is not in the interval is $0.96$. 

$$$$

All of this work above has led us to finding the smallest $n$ such that $(0.96)^n \leq 0.01$. Namely, we can solve this with logarithms to be $n = \text{ceil}\left(\dfrac{\ln(0.01)}{\ln(0.96)}\right) = 113$. We need to take ceilings as $n$ must be an integer and the floor would be too small and not satisfy the condition.","[""113""]",True,False
lGYR2iOlOhTglVldEC9c,River Length,river-length,https://www.quantguide.io/questions/river-length,brainteasers,easy,Jane Street,,JS Glassdoor,published,39978,1,,2023-8-25 23:31:22 America/New_York,Gabe,False,True,"You are in a river of unknown length and velocity. You know that if you are stationary on the river, then it takes you $6$ seconds for you to reach the other end. If you swim down the river at a rate of $3$ feet per second, then it takes you $4$ seconds to reach the other end. Find the length of the river (in feet).",Let $v$ be the velocity of the river and $l$ be the length. Then we know that $l = 6v$ from the first part.,"Let $v$ be the velocity of the river and $l$ be the length. Then we know that $l = 6v$ from the first part. Furthermore, we have that $l =  4(v+3)$ from the part where we swim. By equating these, we have that $6v = 4(v+3) \iff 2v = 12 \iff v = 6$. Therefore, we have that $$l = 6 \cdot 6 = 36$$","[""36""]",False,False
3rOGTWveEwlZzOUR4qlI,Heaven 37,heaven-37,https://www.quantguide.io/questions/heaven-37,brainteasers,hard,,,,published,54867,3,1,2023-11-7 08:41:04 America/New_York,Gabe,False,True,"Let $x$ be a $5$ digit integer in the form $37abc$ such that $37abc, 37bca,$ and $37cab$ are all divisible by $37$. How many possible values of $x$ are there?","Note that $x = 37abc = 37000 + abc$, and thus you are finding integers $abc$ such that all of $abc, bca,$ and $cab$ are divisible by $37$. Consider $abc - bca$.","Note that $x = 37abc = 37000 + abc$. As $37$ already divides $37000$, we just need to find integers $abc$ such that all of $abc, bca,$ and $cab$ are divisible by $37$. Consider $abc - bca$. We will show that in fact any three digit integer $abc$ divisible by $37$ will automatically have the other two forms divisible by $37$ as well.   $$$$  Let $abc$ be an integer divisible by 37. Then $abc = 100a + 10b + c$ by expanding out the digits. For the purposes of this solution, we will prove that if $abc$ is divisible by $37$, then $bca$ also is. The proof for $cab$ is also very similar.   $$$$  By expanding digits again, $bca = 100b + 10c - a$. We have that $$abc - bca = (100a + 10b + c) - (100b + 10c + a) = 99a - 90b - 9c = -9(-11a + 10b + c)$$ Note that the form of the interior parenthesis is the same as it was originally but we have $-11a$ instead of $100a$. The difference between these is $-9 \cdot 111a = -999a$. As $999$ is divisible by $37$, we can subtract $999a$ and get that $abc - bca \equiv -9(100a + 10b + c)$ in mod $37$. However, $abc = 100a + 10b + c$ is divisible by 37 by assumption, so $abc - bca \equiv 0$ in mod $37$. As $abc$ is divisible by $37$, this implies $bca$ is also divisible by $37$.   $$$$  With this in mind, the question is really just asking how many integers $abc$ at most $1000$ are divisible by $37$. In other words, how many non-negative integer values of $k$ are there such that $37k \leq 1000$. We have that $999$ is divisible by $37$ from before and $999 = 37 \cdot 27$. Therefore, $k = 0,1,\dots, 27$, all satisfy this, meaning there are 28 such values total.","[""28""]",False,False
